periode_tahun,periode_nomor,periode_start,periode_end,kabupaten_kode,kabupaten_nama,harga_lkv,is_locf,is_up,harga_delta,change_pct,harga_lag1,harga_lag2,harga_lag3
2024,5,2024-01-29,2024-02-02,8101,KABUPATEN MALUKU TENGAH,17500.000,0,,,,,,
2024,6,2024-02-05,2024-02-09,8101,KABUPATEN MALUKU TENGAH,17500.000,0,0,0.000,0.0000,17500.000,,
2024,7,2024-02-12,2024-02-16,8101,KABUPATEN MALUKU TENGAH,17500.000,0,0,0.000,0.0000,17500.000,17500.000,
2024,8,2024-02-19,2024-02-23,8101,KABUPATEN MALUKU TENGAH,17667.000,0,1,167.000,0.9543,17500.000,17500.000,17500.000
2024,9,2024-02-26,2024-03-01,8101,KABUPATEN MALUKU TENGAH,17667.000,0,0,0.000,0.0000,17667.000,17500.000,17500.000
2024,10,2024-03-04,2024-03-08,8101,KABUPATEN MALUKU TENGAH,18000.000,0,1,333.000,1.8849,17667.000,17667.000,17500.000
2024,11,2024-03-11,2024-03-15,8101,KABUPATEN MALUKU TENGAH,18167.000,0,1,167.000,0.9278,18000.000,17667.000,17667.000
2024,12,2024-03-18,2024-03-22,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,-167.000,-0.9192,18167.000,18000.000,17667.000
2024,13,2024-03-25,2024-03-29,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18167.000,18000.000
2024,14,2024-04-01,2024-04-05,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18167.000
2024,15,2024-04-08,2024-04-12,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,16,2024-04-15,2024-04-19,8101,KABUPATEN MALUKU TENGAH,18167.000,0,1,167.000,0.9278,18000.000,18000.000,18000.000
2024,17,2024-04-22,2024-04-26,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18000.000,18000.000
2024,18,2024-04-29,2024-05-03,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18000.000
2024,19,2024-05-06,2024-05-10,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,20,2024-05-13,2024-05-17,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,21,2024-05-20,2024-05-24,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,22,2024-05-27,2024-05-31,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,23,2024-06-03,2024-06-07,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,24,2024-06-10,2024-06-14,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,25,2024-06-17,2024-06-21,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,26,2024-06-24,2024-06-28,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,27,2024-07-01,2024-07-05,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,28,2024-07-08,2024-07-12,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,29,2024-07-15,2024-07-19,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,30,2024-07-22,2024-07-26,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,31,2024-07-29,2024-08-02,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,32,2024-08-05,2024-08-09,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,33,2024-08-12,2024-08-16,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,34,2024-08-19,2024-08-23,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,35,2024-08-26,2024-08-30,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,36,2024-09-02,2024-09-06,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,37,2024-09-09,2024-09-13,8101,KABUPATEN MALUKU TENGAH,18167.000,0,0,0.000,0.0000,18167.000,18167.000,18167.000
2024,38,2024-09-16,2024-09-20,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,-167.000,-0.9192,18167.000,18167.000,18167.000
2024,39,2024-09-23,2024-09-27,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18167.000,18167.000
2024,40,2024-09-30,2024-10-04,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18167.000
2024,41,2024-10-07,2024-10-11,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,42,2024-10-14,2024-10-18,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,43,2024-10-21,2024-10-25,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,44,2024-10-28,2024-11-01,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,45,2024-11-04,2024-11-08,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,46,2024-11-11,2024-11-15,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,47,2024-11-18,2024-11-22,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,48,2024-11-25,2024-11-29,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,49,2024-12-02,2024-12-06,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,50,2024-12-09,2024-12-13,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,51,2024-12-16,2024-12-20,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2024,52,2024-12-23,2024-12-27,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,1,2024-12-30,2025-01-03,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,2,2025-01-06,2025-01-10,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,3,2025-01-13,2025-01-17,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,4,2025-01-20,2025-01-24,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,5,2025-01-27,2025-01-31,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,6,2025-02-03,2025-02-07,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,7,2025-02-10,2025-02-14,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,8,2025-02-17,2025-02-21,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,9,2025-02-24,2025-02-28,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,10,2025-03-03,2025-03-07,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,11,2025-03-10,2025-03-14,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,12,2025-03-17,2025-03-21,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,13,2025-03-24,2025-03-28,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
2025,14,2025-03-31,2025-04-04,8101,KABUPATEN MALUKU TENGAH,18000.000,0,0,0.000,0.0000,18000.000,18000.000,18000.000
