slug,good_markets,review_markets,drop_markets,recommendation
bawang_merah_ukuran_sedang,34,0,0,KEEP
bawang_putih_ukuran_sedang,34,0,0,KEEP
beras_kualitas_bawah_i,34,0,0,KEEP
beras_kualitas_bawah_ii,34,0,0,KEEP
beras_kualitas_medium_i,34,0,0,KEEP
beras_kualitas_medium_ii,34,0,0,KEEP
beras_kualitas_super_i,34,0,0,KEEP
beras_kualitas_super_ii,34,0,0,KEEP
cabai_merah_besar,28,0,0,KEEP
cabai_merah_keriting,34,0,0,KEEP
cabai_rawit_hijau,28,0,6,KEEP
cabai_rawit_merah,34,0,0,KEEP
daging_sapi_kualitas_1,34,0,0,KEEP
daging_sapi_kualitas_2,34,0,0,KEEP
gula_pasir_kualitas_premium,34,0,0,KEEP
gula_pasir_lokal,34,0,0,KEEP
minyak_goreng_curah,28,0,0,KEEP
minyak_goreng_kemasan_bermerk_1,34,0,0,KEEP
minyak_goreng_kemasan_bermerk_2,28,6,0,KEEP
telur_ayam_ras_segar,34,0,0,KEEP
